,IsolationForest_AUC,IsolationForest_AP,KitNET_AUC,KitNET_AP,VAE_AUC,VAE_AP,SVM_AUC,SVM_AP,Point-wise Diff-RF_AUC,Point-wise Diff-RF_AP,Collective Diff-RF_AUC,Collective Diff-RF_AP
BNA,0.9414014786242366,0.9804803148756178,0.6401639344262295,0.8556882882495754,0.8734169077467053,0.9606273422605545,0.975570556091289,0.9928222689176371,0.9998499946426659,0.9999620316950186,1.0,1.0
CTG,0.8346258202320702,0.8700647044445022,0.8888397123815756,0.9235401901365434,0.8434326912591965,0.8812664641448958,0.8295328445616128,0.8684490518373731,0.8298471465866157,0.8722512142657683,0.9024252570541562,0.9237628911270578
DCCC,0.6127514944520527,0.6682770124708739,0.5301738521487307,0.594994546865987,0.6324877874989342,0.6716643739641388,0.64310444995406,0.6788769162580757,0.6503302738069118,0.7089197474116362,0.7348482884310843,0.7950383927965876
HTRU2,0.9511113262444402,0.9388634544065353,0.9209824038447827,0.920133411687861,0.9433989840203466,0.9325654370322356,0.9478454897422678,0.9387656316917324,0.9531906774223324,0.9418231106173881,0.9626694268773072,0.9562824390977619
MAGIC,0.7585340004809902,0.8969118006087193,0.7125893129015928,0.8907293182956468,0.6900441691572781,0.8692307680464955,0.7418451066033362,0.8951814161476636,0.8335437766556828,0.9331906331968103,0.8807560334695492,0.9505774216614924
MiniBooNE,0.7501823601645599,0.8335165816423975,0.7344852369475923,0.8033574103541804,0.7777790970882161,0.8554119209001689,0.7658251756385493,0.846810765612469,0.7509053238065436,0.8352038321922588,0.9429696084327697,0.9660553965249072
MUSK,0.432510350012192,0.4200434358365014,0.2667948369218364,0.34292894573721244,0.3329750552162037,0.36446325778097216,0.20539723536055365,0.32485188676394944,0.7220298788104462,0.7297617659624903,0.7925622519232141,0.8095733349097569
Occupancy,0.9938366124038749,0.9947169264010943,0.9825793801391525,0.9852915680251015,0.9929722028030229,0.9926091458292465,0.9965856386697294,0.9966256965873779,0.9990347881087919,0.9992432443117912,0.9990720063916908,0.9993103479914229
SDD,0.9954569190600522,0.9956944964432797,1.0,1.0,0.9665932955261126,0.9647584042704302,0.9999984193813302,0.9999985755158693,1.0,1.0,1.0,1.0
SPAM,0.8092129324848218,0.9188482043226895,0.7251906284164349,0.8804835829557038,0.7966972897848472,0.9227124040326736,0.8067427203371904,0.9284760936516763,0.8840942654306709,0.9630362282917918,0.9572220344109746,0.985837667747389
TVCD-BBC,0.5853428808506989,0.8166493479337742,0.6222705109179564,0.8436405007349789,0.5920606873128063,0.8356785955075126,0.5998958781942649,0.8392047889204801,0.6167581996338681,0.8469418114586473,0.6603531363652323,0.8670185192486051
TVCD-CNN,0.5853428808506989,0.8166493479337742,0.6222705109179564,0.8436405007349789,0.5971786112855548,0.8367742949519491,0.5998958781942649,0.8392047889204801,0.617811862085885,0.8475481765173353,0.662361239443931,0.867949092073826
SPF,0.4954763084035001,0.8320993388957507,0.5366077816300698,0.8427481730401774,0.4836924227753228,0.8266251676167958,0.5216939078751857,0.83916240134125,0.4005472618005988,0.7841046813563616,0.37797471652693054,0.7721881267763319
