,Point-wise AE_Diff-RF_AUC,Point-wise AE_Diff-RF_AP,Collective AE_Diff-RF_AUC,Collective AE_Diff-RF_AP
BNA,0.405,0.78,0.997,0.999
CTG,0.746,0.803,0.935,0.953
DCCC,0.558,0.62,0.666,0.736
HTRU2,0.936,0.904,0.962,0.951
MAGIC,0.696,0.866,0.787,0.909
MiniBooNE,0.731,0.82,0.895,0.94
MUSK,0.614,0.615,0.746,0.743
Occupancy,0.969,0.974,0.996,0.996
SDD,0.991,0.995,1.0,1.0
SPAM,0.765,0.917,0.842,0.946
TVCD-BBC,0.651,0.866,0.668,0.879
TVCD-CNN,0.664,0.868,0.7,0.899
SPF,0.468,0.816,0.315,0.755
Mean Rank,0.707,0.834,0.808,0.9
